playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
1628273,Kaela Davis,-1.98,135.0,-1.08,128.0,-0.89,122.0,99.62
201904,Renee Montgomery,-1.99,136.0,0.96,31.0,-2.95,154.0,99.62
1628931,Gabby Williams,-2.0,137.0,-0.03,78.0,-1.97,147.0,99.62
1629568,Kennedy Burke,-2.1,138.0,-0.85,122.0,-1.25,132.0,99.62
1628280,Brionna Jones,-2.2,139.0,-2.01,147.0,-0.18,79.0,99.62
203829,Bria Hartley,-2.34,140.0,-1.39,139.0,-0.94,123.0,99.62
100940,Diana Taurasi,-2.51,141.0,-0.93,124.0,-1.58,141.0,99.62
203855,Stephanie Talbot,-2.62,142.0,-0.01,75.0,-2.61,152.0,99.62
1628922,Azurá Stevens,-2.64,143.0,-0.29,94.0,-2.35,151.0,99.62
201907,Courtney Paris,-2.91,144.0,-1.89,146.0,-1.01,125.0,99.62
1628915,Kia Nurse,-2.98,145.0,-2.62,155.0,-0.36,88.0,99.62
204327,Brittany Boyd,-3.17,146.0,-2.07,149.0,-1.1,127.0,99.62
1627678,Bria Holmes,-3.21,147.0,-1.2,132.0,-2.01,149.0,99.62
202670,Carolyn Swords,-3.22,148.0,-1.75,144.0,-1.46,137.0,99.62
202250,Tina Charles,-3.23,149.0,-2.85,156.0,-0.39,92.0,99.62
1628269,Nia Coffey,-3.43,150.0,-2.22,152.0,-1.21,130.0,99.62
1629480,Kalani Brown,-3.53,151.0,-1.77,145.0,-1.77,145.0,99.62
1629481,Arike Ogunbowale,-3.81,152.0,-2.11,150.0,-1.7,144.0,99.62
201919,Shavonte Zellous,-3.83,153.0,-0.34,97.0,-3.48,156.0,99.62
201518,Crystal Langhorne,-3.86,154.0,-0.83,121.0,-3.02,155.0,99.62
204321,Kaleena Mosqueda-Lewis,-4.06,155.0,-2.24,153.0,-1.82,146.0,99.62
203410,Alex Bentley,-4.86,156.0,-2.13,151.0,-2.73,153.0,99.62
