off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
204322,203026,201904,1628279,202638,204330,203017,1628273,1629481,203401,0
204330,203017,1628273,1629481,203401,204322,203026,201904,1628279,202638,2
204322,203026,201904,1628279,202638,204330,203017,1628273,1629481,203401,2
204330,203017,1628273,1629481,203401,204322,203026,201904,1628279,202638,2
204322,203026,201904,1628279,202638,204330,203017,1628273,1629481,203401,0
204330,203017,1628273,1629481,203401,204322,203026,201904,1628279,202638,0
204322,203026,201904,1628279,202638,204330,203017,1628273,1629481,203401,2
204330,203017,1628273,1629481,203401,204322,203026,201904,1628279,202638,0
204322,203026,201904,1628279,202638,204330,203017,1628273,1629481,203401,0
204330,203017,1628273,1629481,203401,204322,203026,201904,1628279,202638,0
204322,203026,201904,1628279,202638,204330,203017,1628273,1629481,203401,0
204330,203017,1628273,1629481,203401,204322,203026,201904,1628279,202638,0
204322,203026,201904,1628279,202638,204330,203017,1628273,1629481,203401,3
204330,203017,1628273,1629481,203401,204322,203026,201904,1628279,202638,0
204322,203026,201904,1628279,202638,204330,203017,1628273,1629481,203401,2
204330,203017,1628273,1629481,203401,204322,1628269,201904,1628279,202638,0
204322,1628269,201904,1628279,202638,204330,203017,203866,1629481,1628277,3
204330,203017,203866,1629481,1628277,204322,1628269,201904,1628279,202638,0
204322,1628269,201904,1628279,202638,204330,203017,203866,1629481,1628277,0
204330,203017,203866,1629481,1628277,204322,1628269,201904,1628279,202638,2
204322,1628269,201904,1628279,202638,204330,203017,203866,1629481,1628277,2
204330,203017,203866,1629481,1628277,204322,1628269,201904,1628279,202638,0
204322,1628269,203410,1628279,1628881,1628907,203017,203866,203849,1628277,1
1628907,203017,203866,203849,1628277,204322,1628269,203410,1628279,1628881,3
204322,1628269,203410,1628279,1628881,1628907,203017,203866,203849,1628277,0
1628907,203017,203866,203849,1628277,204322,1628269,203410,1628279,1628881,0
204322,1628269,203410,203026,1628881,1628907,203017,203866,203849,1628277,2
1628907,203017,203866,203849,1628277,204322,1628269,203410,203026,1628881,2
204322,1628269,203410,203026,1628881,1628907,203017,203866,203849,1628277,2
1628907,203017,203866,203849,1628277,204322,1628269,203410,203026,1628881,3
1628895,1628269,203410,203026,1628881,1628907,204330,203866,203849,1628277,1
1628907,204330,203866,1627677,1628277,1628895,1628269,203410,203026,1628881,3
1628895,1628269,203410,203026,1628881,1628907,204330,203866,1627677,1628277,0
1628907,204330,203866,1627677,1628277,1628895,1628269,203410,203026,1628881,2
1628895,1628269,203410,203026,1628881,1628907,204330,203866,1627677,1628277,0
1628907,204330,203866,1627677,1628277,1628895,1628269,203410,203026,1628881,0
1628907,203866,204330,1628277,1627677,203410,1628269,1628881,1628895,203026,0
203410,1628269,1628881,1628895,203026,1628907,203866,204330,1628277,1627677,0
1628907,203866,204330,1628277,1627677,203410,1628269,1628881,1628895,203026,0
203410,1628269,1628881,1628895,203026,1628907,203866,204330,1628277,1627677,0
1628907,203866,204330,1628277,1627677,203410,1628269,202638,1628895,203026,0
203410,1628269,202638,1628895,203026,1628907,203866,204330,1628277,1627677,0
1628907,203866,203017,1628277,1627677,203410,1628279,202638,1628895,203026,2
203410,1628279,202638,1628895,203026,1628907,203866,203017,1628277,1627677,0
1628907,203866,203017,1628277,1627677,203410,1628279,202638,1628895,203026,2
203410,1628279,202638,1628895,203026,1628907,203866,203017,1628277,1627677,0
1628907,203866,203017,1628277,1627677,203410,1628279,202638,1628895,203026,3
201904,1628279,202638,204322,203026,203401,203866,203017,1629481,1627677,1
203401,203866,203017,1629481,1627677,201904,1628279,202638,204322,203026,2
201904,1628279,202638,204322,203026,203401,203866,203017,1628907,1627677,3
203401,203866,203017,1628907,1627677,201904,1628279,202638,204322,203026,3
201904,1628279,202638,204322,203026,203401,203866,203017,1628907,1627677,0
203401,203866,203017,1628907,1627677,201904,1628279,202638,204322,203026,0
201904,1628279,202638,204322,203026,203401,203866,203017,1628907,1627677,0
203401,203866,203017,1628907,1627677,201904,1628279,202638,204322,203026,0
201904,1628279,202638,204322,203026,203401,203866,203017,1628907,1627677,2
203401,203849,203017,1628907,1628273,201904,1628279,202638,204322,203026,0
201904,1628279,202638,204322,203026,203401,203849,203017,1628907,1628273,2
203401,203849,203017,1628907,1628273,201904,1628279,202638,204322,203026,0
201904,1628279,202638,204322,1628269,203401,203849,203017,1628907,1628273,2
203401,204330,203017,1628907,1628273,201904,1628279,202638,204322,1628269,3
201904,1628279,202638,204322,1628269,203401,204330,203017,1628907,1628273,0
203401,204330,203017,1628907,1628273,201904,1628279,202638,204322,1628269,2
201904,1628279,202638,204322,1628269,1628277,204330,203017,1628907,1628273,0
1628277,204330,203017,1628907,1628273,201904,1628279,202638,204322,1628269,0
201904,1628279,202638,204322,1628269,1628277,204330,203017,1628907,1628273,3
1628277,204330,203017,1628907,1628273,201904,1628279,202638,204322,1628269,0
201904,203410,202638,204322,1628269,1628277,204330,203017,1628907,203866,2
1628277,204330,203017,1628907,203866,201904,203410,202638,204322,1628269,0
201904,203410,202638,204322,1628269,1628277,204330,203017,1628907,203866,0
1628277,204330,203017,1628907,203866,201904,203410,202638,204322,1628269,2
201904,203410,202638,204322,1628269,1628277,204330,203017,1628907,203866,0
1628277,204330,203017,1628907,203866,201904,203410,202638,204322,1628269,0
201904,203410,202638,204322,1628269,1628277,204330,203017,1628907,203866,0
1628277,204330,203017,1628907,203866,201904,203410,202638,204322,1628269,0
201904,203410,202638,204322,1628269,1628277,204330,203017,1628907,203866,0
203017,204330,1628273,1629481,203401,204322,202638,203026,1628279,201904,0
204322,202638,203026,1628279,201904,203017,204330,1628273,1629481,203401,0
203017,204330,1628273,1629481,203401,204322,202638,203026,1628279,201904,0
204322,202638,203026,1628279,201904,203017,204330,1628273,1629481,203401,0
203017,204330,1628273,1629481,203401,204322,202638,203026,1628279,201904,1
204322,202638,203026,1628279,201904,203017,204330,1628273,1629481,203401,0
203017,204330,1628273,1629481,203401,204322,202638,203026,1628279,201904,0
204322,202638,203026,1628279,201904,203017,204330,1628273,1629481,203401,2
203017,204330,1628273,1629481,203401,204322,202638,203026,1628279,201904,0
204322,202638,203026,1628279,201904,203017,204330,1628273,1628907,203401,2
203017,204330,1628273,1628907,203401,204322,202638,203026,1628279,201904,0
204322,202638,203026,1628279,201904,203017,203866,1628273,1628907,203401,2
203017,203866,1628277,1628907,203401,204322,202638,203026,1628279,201904,3
204322,202638,203026,1628279,201904,203017,203866,1628277,1628907,203401,0
203017,203866,1628277,1628907,203401,204322,202638,203026,1628279,201904,2
204322,202638,203026,1628279,201904,203017,203866,1628277,1628907,203401,0
203017,203866,1628277,1628907,203401,204322,202638,203026,1628279,201904,3
204322,202638,203026,1628279,201904,203017,203866,1628277,1628907,203401,0
203017,203866,1628277,1628907,203401,204322,202638,203026,1628279,201904,0
204322,202638,203026,1628279,201904,203017,203866,1628277,1628907,203401,2
203017,203866,1628277,1628907,203401,204322,202638,203026,1628279,203410,0
204322,202638,203026,1628279,203410,203017,203866,1628277,1628907,203401,0
203017,203866,1628277,1628907,203401,204322,202638,203026,1628279,203410,2
204322,202638,203026,1628279,203410,203017,203866,1628277,1628907,203401,0
203017,203866,1628277,1628907,203401,204322,202638,203026,1628279,203410,0
204322,202638,203026,1628279,203410,203017,203866,1628277,1628907,203401,0
203017,203866,1628277,1628907,203401,204322,202638,203026,1628279,203410,0
204322,1628269,203026,1628279,203410,203017,203866,1628277,1628907,1629481,1
203017,203866,1628277,1628907,1629481,204322,1628269,203026,1628279,203410,0
1628881,1628269,203026,1628279,203410,1627677,203866,1628277,1628907,1629481,0
1627677,203866,1628277,1628907,1629481,1628881,1628269,203026,1628279,203410,0
1628881,1628269,203026,1628279,203410,1627677,203866,1628277,1628907,1629481,0
1627677,203866,1628277,1628907,1629481,1628881,1628269,203026,1628279,203410,2
1628881,1628269,203026,1628279,203410,1627677,203866,1628277,1628907,1629481,2
1627677,203866,1628277,1628907,1629481,1628881,1628269,203026,1628279,203410,3
1628881,1628269,203026,1628279,203410,1627677,203866,1628277,1628907,1629481,0
1627677,203866,1628277,1628907,1629481,1628881,1628269,203026,1628279,203410,0
1628881,1628269,203026,1628279,203410,1627677,203866,1628277,1628907,1629481,0
1627677,203866,1628277,1628907,1629481,1628881,1628269,203026,1628279,203410,0
1628881,1628269,203026,1628279,203410,1627677,203866,1628277,1628907,1629481,2
1627677,203866,1628277,1628907,1629481,1628881,1628269,203026,1628279,203410,0
