,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
0,1628878,Ariel Atkins,8.77,1.0,2.36,20.0,6.4,1.0,103.05
1,100940,Diana Taurasi,8.65,2.0,3.04,14.0,5.61,2.0,103.05
2,203826,Alyssa Thomas,8.36,3.0,4.59,2.0,3.77,9.0,103.05
3,201911,Kristi Toliver,6.9,4.0,2.96,16.0,3.94,6.0,103.05
4,202632,Maya Moore,5.97,5.0,3.93,5.0,2.04,32.0,103.05
5,203827,Natasha Howard,5.9,6.0,4.14,4.0,1.76,36.0,103.05
6,1627673,Jonquel Jones,5.78,7.0,3.17,13.0,2.62,18.0,103.05
7,204296,Rebecca Allen,5.48,8.0,3.78,7.0,1.7,39.0,103.05
8,203026,Tiffany Hayes,5.47,9.0,2.75,17.0,2.72,16.0,103.05
9,201480,Sylvia Fowles,5.37,10.0,3.62,8.0,1.75,37.0,103.05
10,204319,Jewell Loyd,4.74,11.0,0.73,50.0,4.01,5.0,103.05
11,1627670,Morgan Tuck,4.67,12.0,1.82,26.0,2.85,15.0,103.05
12,203828,Stefanie Dolson,4.27,13.0,1.57,30.0,2.7,17.0,103.05
13,202640,Karima Christmas-Kelly,4.08,14.0,3.92,6.0,0.16,77.0,103.05
14,100720,Sue Bird,4.05,15.0,0.19,67.0,3.86,8.0,103.05
15,201506,LaToya Sanders,4.04,16.0,1.48,32.0,2.56,19.0,103.05
16,204335,Betnijah Laney,3.94,17.0,1.05,41.0,2.89,14.0,103.05
17,203824,Odyssey Sims,3.93,18.0,4.18,3.0,-0.24,89.0,103.05
18,1628932,A'ja Wilson,3.57,19.0,1.07,39.0,2.5,20.0,103.05
19,201496,Candace Parker,3.57,20.0,1.65,28.0,1.92,35.0,103.05
20,1627668,Breanna Stewart,3.47,21.0,0.44,56.0,3.03,13.0,103.05
21,202250,Tina Charles,3.44,22.0,2.43,19.0,1.01,55.0,103.05
22,1627675,Courtney Williams,3.21,23.0,-0.67,97.0,3.88,7.0,103.05
23,201904,Renee Montgomery,3.16,24.0,1.58,29.0,1.58,43.0,103.05
24,1628279,Brittney Sykes,3.05,25.0,1.33,35.0,1.72,38.0,103.05
25,203400,Skylar Diggins-Smith,3.0,26.0,0.93,44.0,2.07,31.0,103.05
26,203014,Nneka Ogwumike,2.94,27.0,2.47,18.0,0.47,66.0,103.05
27,203410,Alex Bentley,2.9,28.0,-1.15,115.0,4.06,4.0,103.05
28,203866,Kayla Thornton,2.84,29.0,1.47,33.0,1.37,47.0,103.05
29,204333,Natasha Cloud,2.67,31.0,-0.9,104.0,3.56,10.0,103.05
30,202633,Liz Cambage,2.67,30.0,0.69,52.0,1.99,33.0,103.05
31,204322,Elizabeth Williams,2.51,32.0,0.35,58.0,2.16,25.0,103.05
32,201886,DeWanna Bonner,2.45,33.0,-0.7,99.0,3.15,12.0,103.05
33,203398,Brittney Griner,2.42,34.0,0.22,62.0,2.2,24.0,103.05
34,201919,Shavonte Zellous,2.39,35.0,2.08,24.0,0.31,70.0,103.05
35,204324,Dearica Hamby,2.39,36.0,-0.09,79.0,2.48,21.0,103.05
36,202670,Carolyn Swords,2.34,37.0,1.06,40.0,1.28,50.0,103.05
37,100949,Alana Beard,2.31,38.0,3.45,10.0,-1.14,113.0,103.05
38,201881,Angel McCoughtry,2.15,39.0,3.47,9.0,-1.32,115.0,103.05
39,1628890,Diamond DeShields,2.14,40.0,0.54,53.0,1.61,42.0,103.05
40,1627672,Aerial Powers,2.11,41.0,1.2,37.0,0.91,58.0,103.05
41,201907,Courtney Paris,2.04,42.0,0.88,46.0,1.16,51.0,103.05
42,204297,Cayla George,2.0,43.0,-0.12,80.0,2.13,26.0,103.05
43,1628913,Jaime Nared,1.92,44.0,5.84,1.0,-3.91,150.0,103.05
44,203041,Lynetta Kizer,1.83,45.0,0.83,48.0,1.0,56.0,103.05
45,203399,Elena Delle Donne,1.6,46.0,-0.36,88.0,1.96,34.0,103.05
46,1628868,Hind Ben Abdelkader,1.5,47.0,2.13,22.0,-0.64,100.0,103.05
47,203029,Riquna Williams,1.36,48.0,-0.04,78.0,1.4,44.0,103.05
48,1628268,Alaina Coates,1.31,49.0,-0.81,102.0,2.12,28.0,103.05
49,203849,Theresa Plaisance,1.2,50.0,-0.93,108.0,2.13,27.0,103.05
50,204365,Erica Wheeler,1.16,51.0,1.25,36.0,-0.09,87.0,103.05
51,203833,Chelsea Gray,1.13,52.0,1.5,31.0,-0.37,96.0,103.05
52,1628899,Myisha Hines-Allen,1.1,54.0,2.14,21.0,-1.05,111.0,103.05
53,203831,Natalie Achonwa,1.1,53.0,3.03,15.0,-1.93,124.0,103.05
54,1628267,Saniya Chong,0.95,55.0,0.19,66.0,0.75,60.0,103.05
55,1628881,Monique Billings,0.84,56.0,0.37,57.0,0.47,67.0,103.05
56,203389,Yvonne Turner,0.73,57.0,0.11,73.0,0.62,63.0,103.05
57,1628906,Stephanie Mavunga,0.72,58.0,-1.57,126.0,2.29,23.0,103.05
58,203823,Chiney Ogwumike,0.71,60.0,-1.67,129.0,2.38,22.0,103.05
59,203825,Kayla McBride,0.71,59.0,-2.5,146.0,3.21,11.0,103.05
60,1628297,Alexis Prince,0.7,61.0,-0.0,77.0,0.7,61.0,103.05
61,202252,Alysha Clark,0.63,62.0,-0.99,109.0,1.62,40.0,103.05
62,1628926,Maria Vadeeva,0.53,63.0,-0.78,101.0,1.32,48.0,103.05
63,101023,Sancho Lyttle,0.46,64.0,0.46,55.0,-0.0,81.0,103.05
64,1628286,Erica McCall,0.4,65.0,0.14,70.0,0.27,72.0,103.05
65,100944,Rebekkah Brunson,0.37,66.0,1.44,34.0,-1.08,112.0,103.05
66,1628886,Jordin Canada,0.34,67.0,3.45,11.0,-3.11,141.0,103.05
67,202664,Courtney Vandersloot,0.25,68.0,-1.14,114.0,1.4,45.0,103.05
68,1628327,Adaora Elonu,0.24,69.0,0.12,72.0,0.13,78.0,103.05
69,1628922,Azurá Stevens,0.19,70.0,-1.91,132.0,2.1,29.0,103.05
70,204327,Brittany Boyd,0.15,71.0,2.12,23.0,-1.97,125.0,103.05
71,202641,Sydney Colson,0.11,72.0,-0.31,86.0,0.42,68.0,103.05
72,203855,Stephanie Talbot,0.06,73.0,-4.07,157.0,4.12,3.0,103.05
73,201502,Essence Carson,0.05,74.0,-1.32,119.0,1.37,46.0,103.05
74,202644,Amber Harris,0.0,75.0,-0.2,81.0,0.21,74.0,103.05
75,202638,Jessica Breland,-0.04,76.0,3.18,12.0,-3.23,142.0,103.05
76,100915,Lindsay Whalen,-0.07,77.0,-0.31,85.0,0.24,73.0,103.05
77,203017,Glory Johnson,-0.13,78.0,-0.69,98.0,0.57,64.0,103.05
78,1628920,Mercedes Russell,-0.14,79.0,-0.25,83.0,0.12,79.0,103.05
79,201477,Tamera Young,-0.22,80.0,0.3,59.0,-0.52,97.0,103.05
80,1628276,Kelsey Plum,-0.3,81.0,-2.38,144.0,2.08,30.0,103.05
81,1628508,Cecilia Zandalasini,-0.31,82.0,-0.49,91.0,0.17,76.0,103.05
82,203859,Asia Taylor,-0.33,83.0,-0.29,84.0,-0.04,85.0,103.05
83,200671,Seimone Augustus,-0.37,84.0,-0.36,87.0,-0.01,82.0,103.05
84,1628882,Lexie Brown,-0.43,85.0,-0.41,90.0,-0.03,83.0,103.05
85,202652,Alex Montgomery,-0.45,86.0,0.21,65.0,-0.66,102.0,103.05
86,1628933,Imani Wright,-0.49,87.0,-0.24,82.0,-0.25,90.0,103.05
87,1628911,Teana Muldrow,-0.51,88.0,-0.6,94.0,0.1,80.0,103.05
88,1628927,Victoria Vivians,-0.53,89.0,-2.15,140.0,1.62,41.0,103.05
89,201530,Sequoia Holmes,-0.55,90.0,0.22,63.0,-0.77,105.0,103.05
90,202658,Danielle Robinson,-0.55,91.0,0.12,71.0,-0.68,103.0,103.05
91,201913,Kia Vaughn,-0.64,93.0,2.05,25.0,-2.7,136.0,103.05
92,1628866,Endy Miyem,-0.64,92.0,-1.94,135.0,1.31,49.0,103.05
93,1628282,Sydney Wiese,-0.72,94.0,-1.76,130.0,1.03,54.0,103.05
94,203563,Chelsea Hopkins,-0.73,95.0,0.76,49.0,-1.49,117.0,103.05
95,203830,Shoni Schimmel,-0.76,96.0,0.83,47.0,-1.59,118.0,103.05
96,201503,Erlana Larkins,-0.78,97.0,0.22,64.0,-1.0,110.0,103.05
97,1628278,Shatori Walker-Kimbrough,-0.8,98.0,-1.12,113.0,0.32,69.0,103.05
98,1628905,Raigyne Louis,-0.87,99.0,0.11,74.0,-0.98,108.0,103.05
99,203016,Devereaux Peters,-0.93,100.0,-0.57,93.0,-0.37,94.0,103.05
100,1628273,Kaela Davis,-0.97,101.0,-0.64,96.0,-0.33,93.0,103.05
101,1627676,Tiffany Mitchell,-0.98,102.0,0.01,76.0,-0.99,109.0,103.05
102,1628317,Karlie Samuelson,-1.06,103.0,-2.22,141.0,1.15,52.0,103.05
103,1628244,Sami Whitcomb,-1.1,104.0,-1.76,131.0,0.66,62.0,103.05
104,1628269,Nia Coffey,-1.13,105.0,0.9,45.0,-2.02,126.0,103.05
105,1628277,Allisha Gray,-1.14,106.0,-1.92,133.0,0.78,59.0,103.05
106,201049,Noelle Quinn,-1.16,107.0,0.97,42.0,-2.13,128.0,103.05
107,202662,Jasmine Thomas,-1.26,108.0,1.11,38.0,-2.37,131.0,103.05
108,200676,Candice Dupree,-1.28,109.0,-0.61,95.0,-0.68,104.0,103.05
109,203838,Astou Ndour-Fall,-1.35,110.0,-1.31,118.0,-0.04,86.0,103.05
110,201896,Briann January,-1.36,111.0,-1.25,117.0,-0.11,88.0,103.05
111,203857,Jamierra Faulkner,-1.43,112.0,-2.48,145.0,1.06,53.0,103.05
112,201516,Allie Quigley,-1.48,113.0,-0.9,105.0,-0.57,98.0,103.05
113,204329,Kiah Stokes,-1.56,114.0,0.18,68.0,-1.74,121.0,103.05
114,1628263,Lindsay Allen,-1.62,115.0,0.29,60.0,-1.91,123.0,103.05
115,204323,Cheyenne Parker,-1.66,116.0,-2.65,147.0,0.99,57.0,103.05
116,1628292,Breanna Lewis,-1.69,117.0,-1.32,120.0,-0.37,95.0,103.05
117,203829,Bria Hartley,-1.72,118.0,-1.99,136.0,0.27,71.0,103.05
118,202657,Angel Robinson,-1.79,119.0,-1.51,123.0,-0.28,91.0,103.05
119,1628917,JiSu Park,-1.85,120.0,1.81,27.0,-3.67,146.0,103.05
120,203015,Shekinna Stricklen,-2.03,121.0,-2.0,137.0,-0.03,84.0,103.05
121,204321,Kaleena Mosqueda-Lewis,-2.32,122.0,-1.67,128.0,-0.65,101.0,103.05
122,201889,Marissa Coleman,-2.51,123.0,-1.2,116.0,-1.32,114.0,103.05
123,1627701,Temi Fagbenle,-2.6,124.0,-1.0,110.0,-1.6,119.0,103.05
124,1628895,Marie Gülich,-2.64,125.0,0.17,69.0,-2.81,138.0,103.05
125,1628915,Kia Nurse,-2.69,126.0,-2.9,149.0,0.21,75.0,103.05
126,1627671,Rachel Banham,-2.7,127.0,-1.34,121.0,-1.36,116.0,103.05
127,1628897,Linnae Harper,-2.8,128.0,-3.33,152.0,0.53,65.0,103.05
128,1627669,Moriah Jefferson,-2.88,129.0,-1.01,111.0,-1.87,122.0,103.05
129,204355,Blake Dietrick,-3.01,130.0,-0.54,92.0,-2.46,132.0,103.05
130,202663,Krystal Thomas,-3.19,131.0,-1.59,127.0,-1.6,120.0,103.05
131,203403,Tianna Hawkins,-3.32,132.0,-2.37,142.0,-0.96,107.0,103.05
132,1628280,Brionna Jones,-3.34,133.0,-0.76,100.0,-2.58,135.0,103.05
133,1627681,Jazmon Gwathmey,-3.38,134.0,-0.82,103.0,-2.56,134.0,103.05
134,201518,Crystal Langhorne,-3.39,135.0,0.49,54.0,-3.88,149.0,103.05
135,203411,Sugar Rodgers,-3.69,136.0,-1.52,124.0,-2.18,129.0,103.05
136,1627674,Kahleah Copper,-3.83,137.0,-0.39,89.0,-3.44,145.0,103.05
137,200673,Monique Currie,-3.89,138.0,-1.09,112.0,-2.8,137.0,103.05
138,101030,Tanisha Wright,-3.99,139.0,-1.47,122.0,-2.52,133.0,103.05
139,204320,Amanda Zahui B,-4.01,140.0,-3.72,154.0,-0.29,92.0,103.05
140,201067,Camille Little,-4.07,141.0,0.95,43.0,-5.02,154.0,103.05
141,1627677,Imani McGee-Stafford,-4.19,142.0,0.09,75.0,-4.29,152.0,103.05
142,201507,Leilani Mitchell,-4.25,143.0,0.7,51.0,-4.95,153.0,103.05
143,203024,Damiris Dantas,-4.3,144.0,-0.92,107.0,-3.38,143.0,103.05
144,1628283,Alexis Jones,-4.35,145.0,-0.92,106.0,-3.44,144.0,103.05
145,1628285,Leticia Romero,-4.52,146.0,-3.7,153.0,-0.83,106.0,103.05
146,202259,Epiphanny Prince,-4.61,147.0,-4.0,156.0,-0.61,99.0,103.05
147,203401,Tayler Hill,-5.07,148.0,0.26,61.0,-5.33,157.0,103.05
148,203843,Maggie Lucas,-5.08,149.0,-2.03,138.0,-3.05,140.0,103.05
149,200665,Cappie Pondexter,-5.25,150.0,-3.0,150.0,-2.25,130.0,103.05
150,1628931,Gabby Williams,-5.25,151.0,-2.37,143.0,-2.88,139.0,103.05
151,203402,Kelsey Bone,-5.87,152.0,-1.92,134.0,-3.94,151.0,103.05
152,203406,Layshia Clarendon,-5.89,153.0,-2.12,139.0,-3.77,148.0,103.05
153,1628909,Kelsey Mitchell,-6.02,154.0,-3.98,155.0,-2.04,127.0,103.05
154,202650,Jantel Lavender,-6.73,155.0,-1.53,125.0,-5.2,156.0,103.05
155,203437,Tierra Ruffin-Pratt,-6.98,156.0,-3.22,151.0,-3.75,147.0,103.05
156,203405,Kayla Alexander,-7.94,157.0,-2.87,148.0,-5.07,155.0,103.05
