off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,0
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,2
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,0
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,0
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,2
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,3
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,0
203398,201896,201507,201886,201067,203017,203400,202633,202640,1628277,0
203017,203400,202633,202640,1628277,203398,201896,201507,201886,201067,0
203398,201896,201507,201886,201067,203017,203400,202633,202640,1628277,0
203017,203400,202633,202640,1628277,203398,201896,201507,201886,201067,2
203398,201896,201507,201886,201067,203017,203400,202633,202640,1628277,0
203017,203400,202633,203866,1628277,1628895,201896,201507,201886,201067,0
1628895,201896,201507,201886,201067,203017,203400,202633,203866,1628277,0
203017,203400,202633,203866,1628277,1628895,201896,201507,201886,201067,0
1628895,201896,201507,201886,201067,203017,203400,202633,203866,1628277,0
203017,203400,202633,203866,1628277,1628895,201896,201507,201886,201067,0
1628895,201896,201507,201886,201067,203017,203400,202633,203866,1628277,3
203017,203400,202633,203866,1628277,1628895,201896,201507,201886,201067,0
1628895,201896,201507,201886,201067,203017,203400,202633,203866,1628277,0
1628273,203400,1628292,203866,1628922,1628895,203855,201507,201886,201067,3
1628895,203855,201507,201886,201067,1628273,203400,1628292,203866,1628922,3
1628273,203400,1628292,203866,1628922,1628895,203855,201507,201886,201067,0
1628895,203855,201507,201886,201067,1628273,203400,1628292,203866,1628922,2
1628273,203400,1628292,203866,1628922,1628895,203855,201507,201886,201067,0
1628895,203855,201067,201507,100940,1628292,203400,203017,1628273,1628922,2
1628292,203400,203017,1628273,1628922,1628895,203855,201067,201507,100940,0
1628895,203855,201067,201507,100940,202633,203400,203017,1628273,1628922,1
202633,203400,203017,1628273,1628922,1628895,203855,201067,201507,100940,0
1628895,203855,201067,201507,100940,202633,203400,203017,1628273,1628922,3
202633,203400,203017,1628277,1628922,203398,203855,201067,201507,100940,2
203398,203855,201067,201507,100940,202633,203400,203017,1628277,1628922,0
202633,203400,203017,1628277,1628922,203398,203855,201067,201507,100940,2
203398,203855,201067,201507,100940,202633,203400,203017,1628277,1628922,0
202633,203400,203017,1628277,1628922,203398,203855,201067,201507,100940,2
203398,201886,201067,201507,100940,202633,203400,203017,1628277,1628922,2
202633,203400,203017,1628277,1628922,203398,201886,201067,201507,100940,3
203398,201886,201067,201896,100940,202633,203400,203017,1628277,1628922,2
202633,203400,203017,1628277,1628922,203398,201886,201067,201896,100940,0
203398,201886,101023,201896,100940,202633,203400,203017,1628277,1628922,3
202633,203400,203017,1628277,1628922,203398,201886,101023,201896,100940,0
203398,201886,101023,201896,100940,202633,203400,203017,1628277,1628922,0
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,1
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,0
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,1
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,0
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,2
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,0
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,2
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,0
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,0
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,0
