,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
0,202252,Alysha Clark,7.26,1.0,3.18,3.0,4.08,4.0,102.08
1,202664,Courtney Vandersloot,5.95,2.0,0.58,52.0,5.36,1.0,102.08
2,201881,Angel McCoughtry,5.78,3.0,1.84,19.0,3.93,5.0,102.08
3,1629501,Alanna Smith,5.04,4.0,2.79,4.0,2.25,16.0,102.08
4,1628878,Ariel Atkins,4.48,5.0,2.01,16.0,2.47,11.0,102.08
5,1628899,Myisha Hines-Allen,4.3,6.0,0.83,44.0,3.47,7.0,102.08
6,201496,Candace Parker,4.18,7.0,3.57,2.0,0.6,48.0,102.08
7,201896,Briann January,4.15,8.0,2.55,6.0,1.6,22.0,102.08
8,203827,Natasha Howard,4.11,9.0,4.0,1.0,0.11,63.0,102.08
9,1629483,Napheesa Collier,3.82,10.0,-0.28,86.0,4.1,3.0,102.08
10,1628277,Allisha Gray,3.8,11.0,-0.52,94.0,4.32,2.0,102.08
11,202658,Danielle Robinson,3.6,12.0,1.32,32.0,2.28,14.0,102.08
12,100720,Sue Bird,3.59,13.0,-0.08,74.0,3.67,6.0,102.08
13,1628279,Brittney Sykes,3.55,14.0,1.19,34.0,2.36,12.0,102.08
14,1629482,Sophie Cunningham,3.4,15.0,2.29,11.0,1.11,37.0,102.08
15,1628932,A'ja Wilson,3.18,16.0,1.36,29.0,1.82,17.0,102.08
16,1628278,Shatori Walker-Kimbrough,2.81,17.0,2.6,5.0,0.21,62.0,102.08
17,1627672,Aerial Powers,2.78,18.0,1.45,25.0,1.33,30.0,102.08
18,201886,DeWanna Bonner,2.76,19.0,2.38,9.0,0.39,54.0,102.08
19,203826,Alyssa Thomas,2.65,20.0,2.32,10.0,0.32,59.0,102.08
20,202662,Jasmine Thomas,2.62,21.0,1.86,18.0,0.76,44.0,102.08
21,1629488,Brianna Turner,2.52,22.0,0.91,42.0,1.61,21.0,102.08
22,1627668,Breanna Stewart,2.52,23.0,0.84,43.0,1.68,20.0,102.08
23,1628244,Sami Whitcomb,2.51,24.0,0.25,60.0,2.26,15.0,102.08
24,1628280,Brionna Jones,2.38,25.0,1.15,35.0,1.23,34.0,102.08
25,204324,Dearica Hamby,1.95,26.0,0.92,41.0,1.03,40.0,102.08
26,203398,Brittney Griner,1.9,27.0,1.82,20.0,0.08,64.0,102.08
27,201480,Sylvia Fowles,1.86,28.0,2.18,14.0,-0.32,79.0,102.08
28,200671,Seimone Augustus,1.86,29.0,0.32,58.0,1.54,24.0,102.08
29,204319,Jewell Loyd,1.81,30.0,2.07,15.0,-0.27,77.0,102.08
30,1628920,Mercedes Russell,1.7,31.0,1.8,22.0,-0.1,70.0,102.08
31,1629498,Jackie Young,1.68,32.0,1.95,17.0,-0.27,78.0,102.08
32,1630114,Mikiah Herbert Harrigan,1.67,33.0,2.53,7.0,-0.86,104.0,102.08
33,1627671,Rachel Banham,1.62,34.0,0.22,61.0,1.39,28.0,102.08
34,1628922,Azurá Stevens,1.6,35.0,0.54,53.0,1.06,38.0,102.08
35,1629481,Arike Ogunbowale,1.57,36.0,-1.29,117.0,2.86,8.0,102.08
36,204323,Cheyenne Parker,1.53,37.0,1.14,36.0,0.39,53.0,102.08
37,203024,Damiris Dantas,1.44,38.0,0.83,45.0,0.62,47.0,102.08
38,203833,Chelsea Gray,1.38,39.0,-0.14,77.0,1.51,25.0,102.08
39,1629479,Teaira McCowan,1.33,40.0,-0.22,81.0,1.55,23.0,102.08
40,1630100,Lauren Cox,1.22,41.0,2.22,13.0,-1.0,108.0,102.08
41,1630101,Crystal Dangerfield,1.14,42.0,0.81,47.0,0.33,58.0,102.08
42,1628286,Erica McCall,1.04,43.0,-0.73,101.0,1.76,18.0,102.08
43,1630099,Te'a Cooper,1.01,44.0,0.64,51.0,0.37,57.0,102.08
44,1627674,Kahleah Copper,0.98,45.0,-0.74,105.0,1.73,19.0,102.08
45,1629496,Ezi Magbegor,0.92,46.0,-0.52,93.0,1.43,27.0,102.08
46,204334,Reshanda Gray,0.89,47.0,1.43,26.0,-0.55,89.0,102.08
