,off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
33,1630131,1630139,1630127,1629477,1628915,1627668,202259,202252,1628920,1628886,2
34,1627668,202259,202252,1628920,1628886,1630131,1630139,1630127,1629477,1628915,3
35,1630131,1630139,1630127,1629477,1628915,1627668,202259,202252,1628920,1628886,0
36,1627668,202259,1628244,1628920,1628886,1630131,1630139,1630127,1630115,203406,0
37,1630131,1630139,1630127,1630115,203406,1627668,202259,1628244,1628920,1628886,0
38,1627668,202259,1628244,1628920,1628886,1630131,204329,1630127,1630115,203406,2
39,1630131,204329,1630127,1630115,203406,1627668,202259,1628244,1628920,1628886,0
40,1627668,202259,1628244,1628920,1628886,1630131,204329,1630127,1630115,203406,2
41,1630131,204329,1630127,1630115,203406,201518,202259,1628244,1628920,1628886,0
42,201518,202259,1628244,1628920,1628886,1630131,204329,1630127,1630115,203406,2
43,1630131,204329,1630127,1630115,203406,201518,202259,1628244,1628920,1628886,2
44,201518,202259,1628244,1628920,1628886,1630131,204329,1630127,1630115,203406,0
45,1630131,204329,1630127,1630115,203406,201518,202259,1628244,1628920,1628886,2
46,1629477,203406,1628915,204329,204320,1628886,1628244,1628920,202259,201518,0
47,1628886,1628244,1628920,202259,201518,1629477,203406,1628915,204329,204320,0
48,1629477,203406,1628915,204329,204320,1628886,1628244,1628920,202259,201518,3
49,1628886,1628244,1628920,202259,201518,1629477,203406,1628915,204329,204320,0
50,1629477,203406,1628915,204329,204320,1628886,1628244,1628920,202259,201518,3
51,1628886,1628244,1628920,202259,201518,1629477,203406,1628915,204329,204320,0
52,1629477,203406,1628915,204329,204320,1628886,1628244,1628920,202259,201518,2
53,1628886,1628244,203827,202259,201518,1629477,203406,1630127,204329,204320,0
54,1629477,203406,1630127,204329,204320,1628886,1628244,203827,202259,201518,1
55,1628886,1628244,203827,202259,201518,1629477,203406,1630127,204329,204320,0
56,1629477,203406,1630127,204329,204320,1628886,1628244,203827,1627668,204319,0
57,1628886,202252,203827,1627668,204319,1629477,203406,1630127,204329,204320,0
58,1629477,203406,1630127,204329,204320,1628886,202252,203827,1627668,204319,0
59,1628886,202252,203827,1627668,204319,1629477,203406,1630127,204329,204320,0
60,1629477,203406,1630127,204329,204320,1628886,202252,203827,1627668,204319,0
61,1628886,202252,203827,1627668,204319,1629477,203406,1630127,204329,204320,2
62,1629477,203406,1630127,204329,204320,1628886,202252,203827,1627668,204319,0
63,100720,202252,203827,1627668,204319,1629477,203406,1630127,204329,204320,0
64,1629477,203406,1630127,204329,204320,100720,202252,203827,1627668,204319,1
65,100720,202252,203827,1627668,204319,1629477,203406,1630127,204329,204320,3
66,1629477,203406,1630127,204329,204320,100720,202252,203827,1627668,204319,0
67,100720,202252,203827,1627668,204319,1629477,1630139,1630127,204329,1630115,3
68,1629477,1630139,1630127,204329,1630115,100720,202252,203827,1627668,204319,0
69,100720,202252,203827,1627668,204319,1629477,1630139,1630127,204329,1630115,0
70,1629477,1630139,1630127,204329,1630115,100720,202252,203827,1627668,204319,0
71,100720,202252,203827,1627668,204319,1629477,1630139,1630127,204329,1630115,0
72,1629477,1630139,1630127,204329,1630115,100720,202252,203827,1627668,204319,0
73,100720,202252,203827,1627668,204319,1629477,1630139,1630127,204329,1630115,2
74,1629477,1630139,1630127,204329,1630115,100720,202252,203827,1627668,204319,0
75,100720,202252,203827,1627668,204319,1629477,1630139,1630127,204329,1630115,0
76,1629477,1630139,1630127,204320,203406,100720,202252,203827,1627668,204319,3
77,100720,202252,203827,1627668,204319,1629477,1630139,1630127,204320,203406,0
78,1629477,1630139,1630127,204320,203406,100720,202252,203827,1627668,204319,2
79,100720,202252,203827,1627668,204319,1629477,1630139,1630127,204320,203406,3
80,1629477,1630139,1630127,204320,203406,100720,202252,203827,1627668,204319,0
81,100720,202252,1629496,1627668,204319,1629477,1630139,1630127,204320,203406,0
82,1629477,1630139,1630127,204320,203406,100720,202252,1629496,1627668,204319,2
83,100720,202252,1629496,1627668,204319,1629477,1630139,1630127,204320,203406,2
84,1629477,1630139,1630127,204320,203406,100720,202252,1629496,1627668,204319,0
85,100720,202252,1629496,1627668,204319,1629477,1630139,1630127,204320,203406,0
86,1629477,1630139,1630127,204320,203406,100720,202252,1629496,1627668,204319,2
87,100720,202252,1629496,1627668,204319,1629477,1630139,1630127,204320,203406,3
88,1629477,1630139,1630127,204320,203406,100720,202252,1629496,1627668,204319,0
89,100720,202252,1629496,1627668,204319,1629477,1630139,1630127,204320,203406,0
90,1629477,1630139,1630127,204320,203406,100720,202252,1629496,1627668,204319,0
91,1629477,1630127,204329,204320,203406,203827,1627668,204319,202252,100720,0
92,203827,1627668,204319,202252,100720,1629477,1630127,204329,204320,203406,2
93,1629477,1630127,204329,204320,203406,203827,1627668,204319,202252,100720,2
94,203827,1627668,204319,202252,100720,1629477,1630127,204329,204320,203406,0
95,1629477,1630127,204329,204320,203406,203827,1627668,204319,202252,100720,2
96,203827,1627668,204319,202252,100720,1629477,1630127,204329,204320,203406,1
97,1629477,1630127,204329,204320,203406,203827,1627668,204319,202252,100720,0
98,203827,1627668,204319,202252,100720,1629477,1630127,204329,204320,203406,0
99,1629477,1630127,204329,204320,203406,203827,1627668,204319,202252,100720,2
100,203827,1627668,204319,202252,100720,1629477,1630127,204329,204320,203406,2
101,1629477,1630127,204329,204320,203406,203827,1627668,204319,202252,100720,0
102,203827,1627668,204319,202252,100720,1629477,1630127,204329,204320,203406,0
103,1629477,1630127,204329,204320,203406,203827,1627668,204319,202252,100720,0
104,203827,1627668,204319,202252,100720,1629477,1630127,204329,204320,203406,3
105,1629477,1630127,204329,204320,203406,1629496,1627668,204319,202252,100720,3
106,1629496,1627668,204319,202252,100720,1629477,1630127,204329,204320,203406,0
107,1629477,1630127,204329,204320,203406,1629496,1627668,204319,202252,100720,0
108,1629496,1627668,202259,202252,100720,1629477,1630127,204329,204320,203406,3
109,1629477,1630127,204329,204320,203406,1629496,1627668,202259,202252,100720,0
110,1629496,1627668,202259,202252,100720,1629477,1630127,204329,204320,203406,0
111,1629477,1630127,204329,1630131,203406,1629496,1627668,202259,202252,100720,2
112,1629496,1627668,202259,202252,100720,1629477,1630127,204329,1630131,203406,2
113,1629477,1630127,204329,1630131,1630139,1629496,1627668,202259,202252,100720,2
114,1629496,1627668,202259,202252,100720,1629477,1630127,204329,1630131,1630139,0
115,1629477,1630127,204329,1630131,1630139,1629496,1627668,202259,202252,100720,3
116,1629496,1627668,202259,202252,100720,1629477,1630127,204329,1630131,1630139,3
117,1629477,1630127,204329,1630131,1630139,1629496,1627668,202259,202252,100720,0
118,1629496,1627668,202259,202252,1628886,1629477,1630115,204329,1630131,1630139,0
119,1629477,1630115,204320,1630131,1630139,1629496,1627668,202259,202252,100720,2
120,1629496,1627668,202259,1628244,100720,1629477,1630115,204320,1630131,1630139,2
121,1629477,1630115,204320,1630131,1630139,1629496,1627668,202259,1628244,100720,0
122,1629496,1627668,202259,1628244,100720,203406,1630115,204320,1630131,1630139,2
123,203406,1630115,204320,1630131,1630139,1629496,1628920,202259,1628244,1628886,2
124,1629496,1628920,202259,1628244,1628886,203406,1630115,204320,1630131,1630139,0
125,203406,1630115,204320,1630131,1630139,1629496,1628920,202259,1628244,1628886,0
126,1629496,1628920,202259,1628244,1628886,203406,1630115,204320,1630131,1630139,2
127,203406,1630115,204320,1630131,1630139,1629496,1628920,202259,1628244,1628886,0
128,1629496,1628920,202259,1628244,1628886,203406,1630115,204320,1630131,1630139,2
129,203406,1630115,204320,1630131,1630139,1629496,1628920,202259,1628244,1628886,2
130,1629496,1628920,202259,1628244,1628886,203406,1630115,204320,1630131,1630139,0
131,203406,1630115,204320,1630131,1630139,1629496,1628920,202259,1628244,1628886,0
132,1628886,1628920,1629496,1628244,202259,204320,1629477,203406,1630139,204329,2
133,204320,1629477,203406,1630139,204329,1628886,1628920,1629496,1628244,202259,0
134,1628886,1628920,1629496,1628244,202259,204320,1629477,203406,1630139,204329,2
135,204320,1629477,203406,1630139,204329,1628886,1628920,1629496,1628244,202259,3
136,1628886,1628920,1629496,1628244,202259,204320,1629477,203406,1630139,204329,0
137,204320,1629477,203406,1630139,204329,1628886,1628920,1629496,1628244,202259,0
138,1628886,1628920,203827,1628244,202259,204320,1629477,203406,1630139,204329,1
139,204320,1629477,203406,1630139,1630127,1628886,1628920,203827,1628244,202259,0
140,1628886,1628920,203827,1628244,202259,204320,1629477,203406,1630139,1630127,2
141,204320,1629477,203406,1630139,1630127,1628886,1628920,203827,1628244,202259,0
142,1628886,1628920,203827,1628244,202259,204320,1629477,203406,1630139,1630127,0
143,1630131,1629477,203406,1630139,1630127,1628886,1628920,203827,1628244,202259,1
144,1628886,1628920,203827,1628244,202259,1630131,1629477,203406,1630139,1630127,2
145,1630131,1629477,1630115,1630139,1630127,1628886,1628920,203827,202252,204319,0
146,1628886,1628920,203827,202252,204319,1630131,1629477,1630115,1630139,1630127,2
147,1630131,1629477,1630115,1630139,1630127,1628886,1628920,203827,202252,204319,0
148,1628886,1628920,203827,202252,204319,1630131,1629477,1630115,1630139,1630127,0
149,1630131,1629477,1630115,1630139,1630127,1628886,1627668,203827,202252,204319,0
150,1628886,1627668,203827,202252,204319,1630131,203406,1630115,1630139,1630127,0
151,1630131,203406,1630115,1630139,1630127,1628886,1627668,203827,202252,204319,0
152,1628886,1627668,203827,202252,204319,204329,203406,1630115,1630139,1630127,3
153,204329,203406,1630115,1630139,1630127,1628886,1627668,203827,202252,204319,3
154,1628886,1627668,203827,202252,204319,204329,203406,1630115,1630139,1630127,2
155,204329,203406,1630115,1630139,1630127,1628886,1627668,203827,202252,204319,3
156,1628886,1627668,203827,202252,204319,204329,203406,1630115,1630139,1630127,0
157,204329,203406,1629477,1630139,1630127,1628886,1627668,201518,202252,204319,0
158,1628886,1627668,201518,202252,204319,204329,203406,1629477,1630139,1630127,0
159,204329,203406,1629477,1630139,1630127,1628886,1627668,201518,202252,204319,0
160,1628886,1627668,201518,202252,204319,204329,203406,1629477,1630139,1630127,0
161,204329,203406,1629477,1630139,1630127,1628886,1627668,201518,202252,204319,0
162,1628886,1627668,201518,202252,204319,204329,203406,1629477,1630139,1630127,0
163,204329,203406,1629477,1630139,1630127,1628886,1627668,201518,202252,204319,0
164,1628886,1629496,201518,1628244,204319,204329,203406,1629477,1630139,1630127,2
165,204329,203406,1629477,1630139,1630127,1628886,1629496,201518,1628244,202259,0
166,1628886,1629496,201518,1628244,202259,204329,203406,1629477,1630139,1630127,0
167,204329,203406,1629477,1630139,1630127,1628886,1629496,201518,1628244,202259,0
168,1628886,1629496,201518,1628244,202259,204329,203406,1629477,1630139,1630127,0
169,204329,203406,1629477,1630139,1630127,1628886,1629496,201518,1628244,202259,2
170,1628886,1629496,201518,1628244,202259,204329,203406,1629477,1630139,1630127,3
171,204329,203406,1629477,1630139,1630127,1628886,1629496,201518,1628244,202259,2
172,203398,203400,100940,1629488,1628269,203014,203437,201496,203833,203029,0
173,203014,203437,201496,203833,203029,203398,203400,100940,1629488,1628269,0
174,203398,203400,100940,1629488,1628269,203014,203437,201496,203833,203029,2
175,203014,203437,201496,203833,203029,203398,203400,100940,1629488,1628269,0
176,203398,203400,100940,1629488,1628269,203014,203437,201496,203833,203029,2
177,203014,203437,201496,203833,203029,203398,203400,100940,1629488,1628269,3
178,203398,203400,100940,1629488,1628269,203014,203437,201496,203833,203029,0
179,203014,203437,201496,203833,203029,203398,203400,100940,1629488,1628269,0
180,203398,203400,100940,1629488,1628269,203014,203437,201496,203833,203029,0
181,203014,203437,201496,203833,203029,203398,203400,100940,1629488,1628269,2
182,203398,203400,100940,1629488,1628269,203014,203437,201496,203833,203029,0
183,203014,203437,201496,203833,203029,201913,203400,100940,1629488,1628269,2
184,201913,203400,100940,1629488,1628269,203014,203437,201496,203833,203029,3
185,203014,203437,201496,203833,203029,201913,203400,100940,1629488,1628269,0
186,201913,203400,100940,1629488,1628269,203014,203437,201496,203833,203029,0
187,203014,200671,201496,203833,203029,201913,203400,100940,1629488,203829,2
188,201913,203400,100940,1629488,203829,203014,200671,201496,203833,203029,1
189,203014,200671,201496,203833,203029,201913,203400,100940,1629488,203829,2
190,201913,203400,1629482,1629488,203829,203014,200671,201496,203833,203029,0
191,203014,200671,201496,203833,203029,201913,203400,1629482,1629488,203829,0
192,201913,203400,1629482,1629488,203829,203014,200671,201496,203833,203029,0
193,203014,200671,201496,203833,203029,201913,203400,1629482,1629488,203829,0
194,201913,203400,1629482,1629488,203829,203014,200671,201496,203833,1628279,2
195,203014,200671,201496,203833,1628279,201913,203400,1629482,1629488,203829,3
196,201913,203400,1629482,1629488,203829,203014,200671,201496,203833,1628279,0
197,203437,200671,1629485,203833,1628279,201913,203400,1629482,1629488,203829,0
198,201913,203400,1629482,1629488,203829,203437,200671,1629485,203833,1628279,0
199,203437,200671,1629485,203833,1628279,201913,203400,1629482,1629488,203829,2
200,201913,203400,1629482,1629488,203829,203437,200671,1629485,203833,1628279,3
201,203437,200671,1629485,1630099,1628279,201913,1628278,1629482,1629488,203829,2
202,201913,1628278,1629482,1629488,203829,203437,200671,1629485,1630099,1628279,0
203,203437,200671,1629485,1630099,1628279,201913,1628278,1629482,1629488,203829,2
204,201913,1628278,1629482,1629501,203829,203437,200671,1629485,1630099,1628279,2
205,203437,200671,1629485,1630099,1628279,201913,1628278,1629482,1629501,203829,0
206,201913,1628278,1629482,1629501,203829,203437,200671,1629485,1630099,1628279,0
207,203437,200671,1629485,1630099,1628279,201913,1628278,1629482,1629501,203829,0
208,201913,1628278,1629482,1629501,203829,203437,200671,1629485,1630099,1628279,0
209,203437,200671,1629485,1630099,1628279,201913,1628278,1629482,1629501,203829,2
210,201913,1628278,1629482,1629501,203829,203437,200671,1629485,1630099,1628279,2
211,203437,200671,1629485,1630099,1628279,201913,1628278,1629482,1629501,203829,0
212,201913,1628278,1629482,1629501,203829,203437,200671,1629485,1628282,1628279,3
213,203437,200671,1629485,1628282,1628279,201913,1628278,1629482,1629501,203829,0
214,201913,1628278,1629482,1629501,203829,203437,200671,1629485,1628282,1628279,2
215,203437,200671,1629485,1628282,1628279,201913,1628278,1629482,1629501,203829,0
216,201913,1628278,1629482,1629501,203829,203437,200671,1629485,1628282,1628279,0
217,203437,200671,1629485,1628282,1628279,201913,1628278,1629482,1629501,203829,0
218,203029,204334,201496,1628282,200671,203398,1629482,1629501,1628278,203829,3
219,203398,1629482,1629501,1628278,203829,203029,204334,201496,1628282,200671,3
220,203029,204334,201496,1628282,200671,203398,1629482,1629501,1628278,203829,0
221,203398,1629482,1629501,1628278,203829,203029,204334,201496,1628282,200671,0
222,203029,204334,201496,1628282,200671,203398,1629482,1629501,1628278,203829,0
223,203398,1629482,1629501,1628278,203829,203029,204334,201496,1628282,200671,0
224,203029,204334,201496,1628282,203833,203398,1629488,100940,1628278,203400,3
225,203398,1629488,100940,1628278,203400,203029,204334,201496,1628282,203833,3
226,203029,203014,201496,1628282,1630099,203398,1629488,100940,1628278,203400,0
227,203398,1629488,100940,1628278,203400,203029,203014,201496,1628282,1630099,0
228,203029,203014,201496,1628282,1630099,203398,1629488,100940,1628278,203400,0
229,203398,1629488,100940,1628278,203400,203029,203014,201496,1628282,1630099,2
230,203029,203014,201496,1628282,1630099,203398,1629488,100940,1628278,203400,0
231,203398,1629488,100940,1628278,203400,203029,203014,201496,1628282,1630099,0
232,203029,203014,201496,1628282,1630099,203398,1629488,100940,1628278,203400,2
233,203398,1629488,100940,1628278,203400,203029,203014,201496,1628282,1630099,2
234,203029,203014,201496,1628279,1630099,203398,1629488,100940,1628269,203400,3
235,203398,1629488,100940,1628269,203400,203029,203014,201496,1628279,1630099,2
236,203029,203014,201496,1628279,1630099,203398,1629488,100940,1628269,203400,0
237,203398,1629488,100940,1628269,203400,203029,203014,201496,1628279,1630099,2
238,203029,203014,201496,1628279,203833,203398,1629488,100940,1628269,203400,3
239,203398,1629488,100940,1628269,203400,203029,203014,201496,1628279,203833,3
240,203029,203014,201496,1628279,203833,203398,1629488,100940,1628269,203400,3
241,203398,1629488,100940,1628269,203400,203029,203014,201496,1628279,203833,0
242,203029,203014,201496,1628279,203833,203398,1629488,100940,1628269,203400,0
243,203398,1629488,100940,1628269,203400,203029,203014,201496,1628279,203833,2
244,203029,203014,201496,1628279,203833,203398,1629488,100940,1628269,203400,0
245,203398,1629488,100940,1628269,203400,203029,200671,201496,1628279,203833,0
246,203029,200671,201496,1628279,203833,203398,1629488,100940,203829,203400,2
247,203398,1629488,100940,203829,203400,203029,200671,201496,1628279,203833,2
248,203029,200671,201496,1628279,203833,203398,1629488,100940,203829,203400,2
249,203398,1629488,100940,203829,203400,203029,200671,201496,1628279,203833,0
250,203029,200671,201496,1628279,203833,203398,1629488,100940,203829,203400,0
251,203398,1629488,100940,203829,203400,203437,200671,201496,1628279,203833,0
252,203437,200671,203014,1628279,203833,203398,1629488,100940,203829,203400,2
253,203398,1629488,100940,203829,203400,203437,200671,203014,1628279,203833,0
254,203437,200671,203014,1628279,203833,203398,1629488,100940,203829,203400,0
255,203398,1629488,100940,203829,203400,203437,200671,203014,1628279,203833,0
256,203437,200671,203014,1628279,203833,203398,1629488,100940,203829,203400,0
257,203398,1629488,100940,203829,203400,203437,200671,203014,1628279,203833,3
258,203437,200671,203014,1628279,203833,203398,1629488,100940,203829,203400,3
259,203398,1629488,100940,203829,203400,203437,200671,203014,1628279,203833,0
260,203029,200671,203014,1628279,203833,203398,1629488,100940,203829,203400,2
261,203398,1629488,100940,203829,203400,203029,200671,203014,1628279,203833,0
262,203029,200671,203014,1628279,203833,203398,1629488,100940,203829,203400,0
263,203833,203437,201496,203014,203029,203400,100940,1629488,203398,1628269,3
264,203400,100940,1629488,203398,1628269,203833,203437,201496,203014,203029,0
265,203833,203437,201496,203014,203029,203400,100940,1629488,203398,1628269,2
266,203400,100940,1629488,203398,1628269,203833,203437,201496,203014,203029,0
267,203833,203437,201496,203014,203029,203400,100940,1629488,203398,1628269,0
268,203400,100940,1629488,203398,1628269,203833,203437,201496,203014,203029,0
269,203833,203437,201496,203014,203029,203400,100940,1629488,203398,1628269,0
270,203400,100940,1629488,203398,1628269,203833,203437,201496,203014,203029,2
271,203833,203437,201496,203014,203029,203400,100940,1629488,203398,203829,2
272,203400,100940,1629488,203398,203829,203833,203437,201496,203014,203029,0
273,203833,203437,201496,203014,203029,203400,100940,1629488,203398,203829,2
274,203400,100940,1629488,203398,203829,203833,203437,201496,203014,203029,0
275,203833,203437,201496,203014,203029,203400,100940,201913,203398,203829,0
276,203400,100940,201913,203398,203829,203833,203437,201496,203014,203029,0
277,203833,203437,201496,200671,203029,203400,100940,201913,203398,203829,0
278,203400,100940,201913,203398,203829,203833,203437,201496,200671,203029,0
279,203833,203437,201496,200671,203029,203400,100940,201913,203398,203829,2
280,203400,1628278,201913,203398,203829,203833,1628279,201496,200671,203029,3
281,203833,1628279,201496,200671,203029,203400,1628278,201913,203398,203829,0
282,203400,1628278,201913,203398,203829,203833,1628279,201496,200671,203029,1
283,203833,1628279,201496,200671,203029,203400,1628278,201913,203398,203829,2
284,203400,1628278,201913,203398,203829,203833,1628279,201496,200671,203029,0
285,203833,1628279,201496,200671,203029,203400,1628278,201913,203398,203829,2
286,203400,1628278,201913,203398,203829,203833,1628279,201496,200671,203029,2
287,203833,1628279,201496,200671,203029,203400,1628278,201913,203398,203829,2
288,203400,1628278,201913,203398,203829,203833,1628279,201496,200671,203029,0
289,203014,1628279,1628282,200671,203029,1629482,1628278,201913,203398,203829,2
290,1629482,1628278,201913,203398,203829,203014,1628279,1628282,200671,203029,0
291,203014,1628279,1628282,200671,203029,1629482,1628278,201913,203398,203829,2
292,1629482,1628278,201913,203398,203829,203014,1628279,1628282,200671,203029,0
293,203014,1628279,1628282,200671,203029,1629482,1628278,201913,203398,203829,0
294,1629482,1628278,201913,203398,203829,203014,1628279,1628282,200671,203029,0
295,203014,1628279,1628282,200671,1630099,1629482,1628278,201913,203398,203829,3
296,1629482,1628278,201913,203398,203829,203014,1628279,1628282,200671,1630099,0
297,203014,1628279,1628282,200671,1630099,1629482,1628278,201913,203398,203829,0
298,1629482,1628278,201913,203398,203829,203014,1628279,1628282,200671,1630099,0
299,203014,1628279,1628282,200671,1630099,1629482,1628278,201913,203398,203829,3
300,1629482,1628278,201913,203398,203829,203014,1628279,1628282,200671,1630099,0
301,203014,1628279,1628282,200671,1630099,1629482,1628278,201913,203398,203829,3
302,203829,100940,1629501,201913,203400,203014,1628279,1628282,1630099,1629485,0
303,203014,1628279,1628282,1630099,1629485,203829,100940,1629501,201913,203400,0
304,203829,100940,1629501,201913,203400,203014,1628279,1628282,1630099,1629485,0
305,203014,1628279,1628282,1630099,1629485,203829,100940,1629501,201913,203400,3
306,203829,100940,1629501,201913,203400,203014,1628279,1628282,1630099,1629485,0
307,203014,1628279,1628282,1630099,1629485,203829,100940,1629501,201913,203400,2
308,203829,100940,1629501,201913,203400,203014,1628279,1628282,1630099,1629485,3
309,203014,1628279,1628282,1630099,1629485,203829,100940,1629501,201913,203400,3
310,203829,100940,1629501,201913,203400,203014,203029,1628282,1630099,1629485,2
311,203014,203029,1628282,1630099,1629485,203829,100940,1629501,201913,203400,0
312,203829,100940,1629501,201913,203400,203014,203029,1628282,1630099,1629485,2
313,203014,203029,1628282,1630099,1629485,203829,100940,1629501,201913,203400,0
314,203829,100940,1629501,201913,203400,203014,203029,1628282,1630099,1629485,2
315,203014,203029,1628282,1630099,1629485,203829,100940,1629501,201913,203400,0
316,203829,100940,1629501,201913,203400,203014,203029,1628282,1630099,1629485,2
317,203014,203029,1628282,1630099,1629485,203829,100940,1629501,201913,203400,2
318,203829,100940,1629501,201913,203400,203014,203029,1628282,1630099,1629485,3
319,203014,203029,1628282,1630099,1629485,203829,100940,1629501,201913,203400,2
320,203829,100940,1629501,201913,203400,203014,203029,1628282,1630099,1629485,0
321,203014,203029,1628282,1630099,1629485,203829,100940,1629501,201913,203400,2
322,203829,1629482,1629501,203398,203400,204334,203029,1628282,1630099,1629485,0
323,204334,203029,1628282,1630099,1629485,203829,1629482,1629501,203398,203400,2
324,203829,1629482,1629501,203398,203400,204334,203029,1628282,1630099,1629485,0
325,204334,203029,1628282,1630099,1629485,203829,1629482,1629501,203398,203400,0
326,203829,1629482,1629501,203398,203400,204334,203029,1628282,1630099,1629485,0
327,204334,203029,1628282,1630099,1629485,203829,1629482,1628278,203398,1629488,0
328,203829,1629482,1628278,203398,1629488,204334,203029,1628282,1630099,1629485,0
329,204334,203029,1628282,1630099,1629485,203829,1629482,1628278,203398,1629488,0
330,203829,1629482,1628278,203398,1629488,204334,203029,1628282,1630099,1629485,2
331,204334,203029,1628282,1630099,1629485,203829,1629482,1628278,203398,1629488,0
332,203829,1629482,1628278,203398,1629488,204334,203029,1628282,1630099,1629485,0
333,204334,203029,1628282,1630099,1629485,203829,1629482,1628278,203398,1629488,0
334,203829,1629482,1628278,1629501,1629488,204334,203029,1628282,1630099,1629485,2
335,204334,203029,1628282,1630099,1629485,203829,1629482,1628278,1629501,1629488,0
336,203829,1629482,1628278,1629501,1629488,204334,203029,1628282,1630099,1629485,2
337,204334,203029,1628282,1630099,1629485,203829,1629482,1628278,1629501,1629488,0
338,203829,1629482,1628278,1629501,1629488,204334,203029,1628282,1630099,1629485,0
339,204334,203029,1628282,1630099,1629485,203829,1629482,1628278,1629501,1629488,2
340,203829,1629482,1628278,1629501,1629488,204334,203029,1628282,1630099,1629485,2
341,204334,203029,1628282,1630099,1629485,203829,1629482,1628278,1629501,1629488,1
342,203829,1629482,1628278,1629501,1629488,204334,203029,1628282,1630099,1629485,0
343,200676,1627700,1628909,203831,1627676,1628899,203416,1628878,201507,1627672,0
344,1628899,203416,1628878,201507,1627672,200676,1627700,1628909,203831,1627676,2
345,200676,1627700,1628909,203831,1627676,1628899,203416,1628878,201507,1627672,0
346,1628899,203416,1628878,201507,1627672,200676,1627700,1628909,203831,1627676,2
347,200676,1627700,1628909,203831,1627676,1628899,203416,1628878,201507,1627672,2
348,1628899,203416,1628878,201507,1627672,200676,1627700,1628909,203831,1627676,3
349,200676,1627700,1628909,203831,1627676,1628899,203416,1628878,201507,1627672,2
350,1628899,203416,1628878,201507,1627672,200676,1627700,1628909,203831,1627676,1
351,200676,1627700,1628909,203831,1627676,1628899,203416,1628878,201507,1627672,2
352,1628899,203416,1628878,201507,1627672,200676,1627700,1628909,203831,1627676,3
353,200676,1627700,1628909,203831,1627676,1628899,203416,1628878,201507,1627672,2
354,1628899,203416,1628878,201507,1627672,200676,1627700,1628909,203831,1627676,0
355,200676,1627700,1628909,203831,1627676,1628899,203416,1628878,201507,1627672,2
356,1628899,203416,1628878,201507,1627672,200676,1627700,1628909,203831,1627676,2
357,200676,1627700,1628909,203831,1627676,1628899,203416,203403,201507,1627672,2
358,201502,203416,203403,201507,1627672,200676,1627700,1628909,203831,1627676,0
359,200676,1627700,1628909,203831,1627676,201502,203416,203403,201507,1627672,3
360,201502,203416,203403,201507,1627672,200676,1627700,1628909,203831,1627676,0
361,200676,1627700,1628909,203831,1627676,201502,203416,203403,201507,1627672,0
