,off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
0,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,0
1,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,0
2,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,2
3,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,0
4,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,0
5,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,2
6,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,0
7,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,0
8,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,2
9,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,2
10,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,0
11,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,2
12,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,2
13,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,0
14,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,0
15,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,0
16,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,0
17,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,0
18,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,0
19,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,0
20,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,2
21,204329,204320,203406,1629477,1628915,1627668,204319,202252,203827,100720,0
22,1627668,204319,202252,203827,100720,204329,204320,203406,1629477,1628915,0
23,204329,1630139,203406,1629477,1628915,1627668,204319,202252,203827,100720,2
24,1627668,204319,202252,1628920,100720,204329,1630139,1630127,1629477,1628915,2
25,204329,1630139,1630127,1629477,1628915,1627668,204319,202252,1628920,100720,0
26,1627668,204319,202252,1628920,100720,204329,1630139,1630127,1629477,1628915,2
27,204329,1630139,1630127,1629477,1628915,1627668,204319,202252,1628920,100720,0
28,1627668,204319,202252,1628920,1628886,1630131,1630139,1630127,1629477,1628915,0
29,1630131,1630139,1630127,1629477,1628915,1627668,204319,202252,1628920,1628886,0
30,1627668,204319,202252,1628920,1628886,1630131,1630139,1630127,1629477,1628915,3
31,1630131,1630139,1630127,1629477,1628915,1627668,202259,202252,1628920,1628886,2
32,1627668,202259,202252,1628920,1628886,1630131,1630139,1630127,1629477,1628915,0
